trade_date,sector_label,article_count,row_count,weighted_article_count,sentiment_mean,sentiment_sum,weighted_sentiment_sum,sentiment_weighted_mean,positive_count,neutral_count,negative_count,positive_weighted_count,neutral_weighted_count,negative_weighted_count
2025-06-19,Banking,7,7,6.5,,,,,0,0,0,0.0,0.0,0.0
2025-06-19,ConsumerDiscretionary,8,8,7.0,0.75,3.0,3.0,0.8571428571428571,3,1,0,3.0,0.5,0.0
2025-06-19,ConsumerStaples,10,10,8.333333333333332,0.16666666666666666,1.0,1.0,0.23076923076923078,1,5,0,1.0,3.333333333333333,0.0
2025-06-19,Energy,5,5,3.333333333333333,0.0,0.0,0.0,0.0,0,2,0,0.0,0.8333333333333333,0.0
2025-06-19,IndustrialLogistics,6,6,4.833333333333333,0.3333333333333333,1.0,1.0,0.5454545454545455,1,2,0,1.0,0.8333333333333333,0.0
2025-06-19,RealEstate,2,2,1.5,,,,,0,0,0,0.0,0.0,0.0
2025-06-19,SteelMaterials,3,3,2.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.5,0.0
2025-06-19,Technology,2,2,1.0,-0.5,-1.0,-0.5,-0.5,0,1,1,0.0,0.5,0.5
2025-06-19,Utilities,6,6,4.5,0.0,0.0,0.5,0.25,1,1,1,1.0,0.5,0.5
2025-06-20,Banking,6,6,6.0,,,,,0,0,0,0.0,0.0,0.0
2025-06-20,ConsumerDiscretionary,15,15,13.333333333333334,0.0,0.0,0.0,0.0,1,3,1,1.0,3.0,1.0
2025-06-20,ConsumerStaples,10,10,10.0,-0.5,-4.0,-4.0,-0.5,1,2,5,1.0,2.0,5.0
2025-06-20,Energy,7,7,5.333333333333333,0.0,0.0,0.0,0.0,0,2,0,0.0,2.0,0.0
2025-06-20,Healthcare,1,1,1.0,,,,,0,0,0,0.0,0.0,0.0
2025-06-20,IndustrialLogistics,5,5,4.0,0.0,0.0,0.0,0.0,0,2,0,0.0,1.5,0.0
2025-06-20,SteelMaterials,2,2,1.5,0.0,0.0,0.0,0.0,0,1,0,0.0,0.5,0.0
