source_sector,target_sector,source_variable,target_variable,lag,n_obs,f_stat,p_value,df_denom,df_num,status,error_message
Banking,RealEstate,sent_Banking,sent_RealEstate,1,270,0.0261565268188161,0.8716414158235489,266.0,1,ok,
Banking,RealEstate,sent_Banking,sent_RealEstate,2,270,0.19975041066463423,0.8190592509719393,263.0,2,ok,
Banking,RealEstate,sent_Banking,sent_RealEstate,3,270,1.3325837724089555,0.26418337124047286,260.0,3,ok,
Banking,RealEstate,sent_Banking,sent_RealEstate,4,270,1.1572543624967742,0.33020749275721095,257.0,4,ok,
Banking,RealEstate,sent_Banking,sent_RealEstate,5,270,1.4070578958083766,0.22210091399013127,254.0,5,ok,
Banking,SteelMaterials,sent_Banking,sent_SteelMaterials,1,270,0.1938576615845975,0.6600826931145612,266.0,1,ok,
Banking,SteelMaterials,sent_Banking,sent_SteelMaterials,2,270,0.10509866305584169,0.9002734878309981,263.0,2,ok,
Banking,SteelMaterials,sent_Banking,sent_SteelMaterials,3,270,0.02925857374629368,0.9932455087213209,260.0,3,ok,
Banking,SteelMaterials,sent_Banking,sent_SteelMaterials,4,270,0.13106884375944383,0.9709437625621564,257.0,4,ok,
Banking,SteelMaterials,sent_Banking,sent_SteelMaterials,5,270,0.17050043108576152,0.9733188145741604,254.0,5,ok,
Banking,Technology,sent_Banking,sent_Technology,1,270,3.148949586107749,0.07711957626717648,266.0,1,ok,
Banking,Technology,sent_Banking,sent_Technology,2,270,1.608318531438903,0.20218691659598467,263.0,2,ok,
Banking,Technology,sent_Banking,sent_Technology,3,270,2.0851958937432844,0.10257241049621964,260.0,3,ok,
Banking,Technology,sent_Banking,sent_Technology,4,270,1.613918596276486,0.17115980747646548,257.0,4,ok,
Banking,Technology,sent_Banking,sent_Technology,5,270,1.2922069839180221,0.26766545516599544,254.0,5,ok,
Banking,ConsumerStaples,sent_Banking,sent_ConsumerStaples,1,270,1.823222707414731,0.17807787960299243,266.0,1,ok,
Banking,ConsumerStaples,sent_Banking,sent_ConsumerStaples,2,270,1.3183013574696796,0.2693517487674544,263.0,2,ok,
Banking,ConsumerStaples,sent_Banking,sent_ConsumerStaples,3,270,1.003670052017437,0.39170982303702107,260.0,3,ok,
Banking,ConsumerStaples,sent_Banking,sent_ConsumerStaples,4,270,1.020638606310013,0.3971239039217478,257.0,4,ok,
Banking,ConsumerStaples,sent_Banking,sent_ConsumerStaples,5,270,1.2356095240079528,0.2928334373921108,254.0,5,ok,
Banking,ConsumerDiscretionary,sent_Banking,sent_ConsumerDiscretionary,1,270,0.3722982293280333,0.5422751084742637,266.0,1,ok,
Banking,ConsumerDiscretionary,sent_Banking,sent_ConsumerDiscretionary,2,270,0.3181912137484335,0.7277433245075813,263.0,2,ok,
Banking,ConsumerDiscretionary,sent_Banking,sent_ConsumerDiscretionary,3,270,0.2534248361112244,0.858860566332571,260.0,3,ok,
Banking,ConsumerDiscretionary,sent_Banking,sent_ConsumerDiscretionary,4,270,1.042628658905698,0.3856846911879539,257.0,4,ok,
Banking,ConsumerDiscretionary,sent_Banking,sent_ConsumerDiscretionary,5,270,1.1040056348851501,0.35871191658108775,254.0,5,ok,
Banking,Energy,sent_Banking,sent_Energy,1,270,0.2273702383635196,0.633872139360116,266.0,1,ok,
Banking,Energy,sent_Banking,sent_Energy,2,270,0.5886683701940502,0.5557955973449298,263.0,2,ok,
Banking,Energy,sent_Banking,sent_Energy,3,270,1.6563903415675199,0.1768659535941766,260.0,3,ok,
Banking,Energy,sent_Banking,sent_Energy,4,270,1.7130693585428614,0.14748337971538755,257.0,4,ok,
Banking,Energy,sent_Banking,sent_Energy,5,270,1.1272947935773083,0.3462879312383923,254.0,5,ok,
Banking,IndustrialLogistics,sent_Banking,sent_IndustrialLogistics,1,270,0.0031848993790962745,0.955037712134413,266.0,1,ok,
Banking,IndustrialLogistics,sent_Banking,sent_IndustrialLogistics,2,270,0.8154234150994826,0.4435673524850817,263.0,2,ok,
Banking,IndustrialLogistics,sent_Banking,sent_IndustrialLogistics,3,270,0.21603496113426518,0.8852355248340302,260.0,3,ok,
Banking,IndustrialLogistics,sent_Banking,sent_IndustrialLogistics,4,270,0.5751200860812955,0.6809269425446802,257.0,4,ok,
