source_sector,target_sector,source_variable,target_variable,lag,n_obs,f_stat,p_value,df_denom,df_num,status,error_message
Banking,RealEstate,sent_Banking,ret_RealEstate,1,250,0.9308452897484497,0.3355908525025777,246.0,1,ok,
Banking,RealEstate,sent_Banking,ret_RealEstate,2,250,0.48288870570635356,0.6175892750006847,243.0,2,ok,
Banking,RealEstate,sent_Banking,ret_RealEstate,3,250,0.544574199286351,0.6522525810898758,240.0,3,ok,
Banking,RealEstate,sent_Banking,ret_RealEstate,4,250,0.37698908036787804,0.8249564349160782,237.0,4,ok,
Banking,RealEstate,sent_Banking,ret_RealEstate,5,250,0.6785366845939883,0.6401183270220857,234.0,5,ok,
Banking,SteelMaterials,sent_Banking,ret_SteelMaterials,1,250,2.239947856542393,0.13576739629223117,246.0,1,ok,
Banking,SteelMaterials,sent_Banking,ret_SteelMaterials,2,250,0.5238956023213752,0.5928763922381819,243.0,2,ok,
Banking,SteelMaterials,sent_Banking,ret_SteelMaterials,3,250,0.6075302481567384,0.6107053171326762,240.0,3,ok,
Banking,SteelMaterials,sent_Banking,ret_SteelMaterials,4,250,0.4553600102088472,0.7684345300106531,237.0,4,ok,
Banking,SteelMaterials,sent_Banking,ret_SteelMaterials,5,250,1.2122814243677726,0.30404394475532026,234.0,5,ok,
Banking,Technology,sent_Banking,ret_Technology,1,250,0.7348603657250392,0.39214662179600157,246.0,1,ok,
Banking,Technology,sent_Banking,ret_Technology,2,250,0.2944578253948169,0.745200783802878,243.0,2,ok,
Banking,Technology,sent_Banking,ret_Technology,3,250,0.24424448118421271,0.8653831625360306,240.0,3,ok,
Banking,Technology,sent_Banking,ret_Technology,4,250,0.5546988627849925,0.69577817308961,237.0,4,ok,
Banking,Technology,sent_Banking,ret_Technology,5,250,0.4268711318849767,0.8297028340415564,234.0,5,ok,
Banking,ConsumerStaples,sent_Banking,ret_ConsumerStaples,1,250,2.7958198892496333,0.09578180180290884,246.0,1,ok,
Banking,ConsumerStaples,sent_Banking,ret_ConsumerStaples,2,250,1.1881020874764336,0.30656340320747505,243.0,2,ok,
Banking,ConsumerStaples,sent_Banking,ret_ConsumerStaples,3,250,0.7852305384559393,0.5031842992066875,240.0,3,ok,
Banking,ConsumerStaples,sent_Banking,ret_ConsumerStaples,4,250,0.6995086185658077,0.5929816452560164,237.0,4,ok,
Banking,ConsumerStaples,sent_Banking,ret_ConsumerStaples,5,250,1.0379182680529644,0.39600136942431113,234.0,5,ok,
Banking,ConsumerDiscretionary,sent_Banking,ret_ConsumerDiscretionary,1,250,2.9822577882130044,0.08543705213089325,246.0,1,ok,
Banking,ConsumerDiscretionary,sent_Banking,ret_ConsumerDiscretionary,2,250,2.94067594942969,0.05471304028698067,243.0,2,ok,
Banking,ConsumerDiscretionary,sent_Banking,ret_ConsumerDiscretionary,3,250,1.9731856659537756,0.11863048212794321,240.0,3,ok,
Banking,ConsumerDiscretionary,sent_Banking,ret_ConsumerDiscretionary,4,250,1.6503037270435161,0.16239272151695727,237.0,4,ok,
Banking,ConsumerDiscretionary,sent_Banking,ret_ConsumerDiscretionary,5,250,1.6931165359077998,0.13703458921929487,234.0,5,ok,
Banking,Energy,sent_Banking,ret_Energy,1,250,0.8863121916770685,0.3474021961473386,246.0,1,ok,
Banking,Energy,sent_Banking,ret_Energy,2,250,0.7931298816971478,0.45359416572438094,243.0,2,ok,
Banking,Energy,sent_Banking,ret_Energy,3,250,0.5181645691206019,0.6701612620678585,240.0,3,ok,
Banking,Energy,sent_Banking,ret_Energy,4,250,0.39493667034120333,0.8121794460653029,237.0,4,ok,
Banking,Energy,sent_Banking,ret_Energy,5,250,0.1405139220754859,0.9826376674045967,234.0,5,ok,
Banking,IndustrialLogistics,sent_Banking,ret_IndustrialLogistics,1,250,1.7115976925778082,0.19199927762735491,246.0,1,ok,
Banking,IndustrialLogistics,sent_Banking,ret_IndustrialLogistics,2,250,2.504041536185301,0.08386161474014653,243.0,2,ok,
Banking,IndustrialLogistics,sent_Banking,ret_IndustrialLogistics,3,250,1.4408644912506494,0.2315118317152969,240.0,3,ok,
Banking,IndustrialLogistics,sent_Banking,ret_IndustrialLogistics,4,250,1.0816635391178808,0.36621678556288556,237.0,4,ok,
Banking,IndustrialLogistics,sent_Banking,ret_IndustrialLogistics,5,250,0.9102300217475374,0.47505023842431915,234.0,5,ok,
Banking,Healthcare,sent_Banking,ret_Healthcare,1,250,0.0009728204174707276,0.975143249771522,246.0,1,ok,
Banking,Healthcare,sent_Banking,ret_Healthcare,2,250,0.0175676453041975,0.9825870139174829,243.0,2,ok,
Banking,Healthcare,sent_Banking,ret_Healthcare,3,250,0.1281979352321422,0.9433060380693369,240.0,3,ok,
Banking,Healthcare,sent_Banking,ret_Healthcare,4,250,1.2140291612761458,0.3054872941811905,237.0,4,ok,
Banking,Healthcare,sent_Banking,ret_Healthcare,5,250,0.8707630407280467,0.5013867234431423,234.0,5,ok,
Banking,Utilities,sent_Banking,ret_Utilities,1,250,0.10526397499967793,0.7458775456141842,246.0,1,ok,
Banking,Utilities,sent_Banking,ret_Utilities,2,250,0.7042779139065123,0.49547192587791944,243.0,2,ok,
Banking,Utilities,sent_Banking,ret_Utilities,3,250,0.5744052968964191,0.6323575392468828,240.0,3,ok,
Banking,Utilities,sent_Banking,ret_Utilities,4,250,0.6693418625999,0.6138496879657669,237.0,4,ok,
Banking,Utilities,sent_Banking,ret_Utilities,5,250,0.5151248063488836,0.7647176209620942,234.0,5,ok,
RealEstate,Banking,sent_RealEstate,ret_Banking,1,250,1.2888245180171205,0.25736957847748526,246.0,1,ok,
