source_sector,Banking,RealEstate,SteelMaterials,Technology,ConsumerStaples,ConsumerDiscretionary,Energy,IndustrialLogistics,Healthcare,Utilities
Banking,,0.7411071300008216,0.7411071300008216,0.5785769829777072,0.7411071300008216,0.41313575732890084,0.993678540072064,0.31060859987467787,0.993678540072064,0.674403811790436
RealEstate,0.4322637895405207,,0.31060859987467787,0.4160333352975518,0.41463216399568986,0.20287991160060753,0.7411071300008216,0.18755298593310715,0.4160333352975518,0.34194240430028006
SteelMaterials,0.5209050439405601,0.31060859987467787,,0.41313575732890084,0.4302378680754735,0.7774590144356236,0.20287991160060753,0.41313575732890084,0.45167143667727155,0.993678540072064
Technology,0.41313575732890084,0.4011082191330439,0.7056249797690125,,0.9087559757990089,0.855395228561731,0.20287991160060753,0.3294977873602254,0.31060859987467787,0.4011082191330439
ConsumerStaples,0.4207880994548154,0.7411071300008216,0.4348559387910671,0.20287991160060753,,0.7411071300008216,0.993678540072064,0.993678540072064,0.4302378680754735,0.7288539491252085
ConsumerDiscretionary,0.31060859987467787,0.20287991160060753,0.2717784353317439,0.20287991160060753,0.31060859987467787,,0.20125598640366202,0.31060859987467787,0.1564828168244615,0.41313575732890084
Energy,0.5785769829777072,0.674403811790436,0.41313575732890084,0.3294977873602254,0.34194240430028006,0.31102400542155734,,0.31060859987467787,0.31060859987467787,0.8142924316155236
IndustrialLogistics,0.9978279072371509,0.20287991160060753,0.993678540072064,0.4302378680754735,0.20287991160060753,0.20287991160060753,0.06712262459339643,,0.42957368182543704,0.6521315760006671
Healthcare,0.31060859987467787,0.8668563068089078,0.674403811790436,0.33222280966543455,0.4348559387910671,0.4322637895405207,0.20287991160060753,0.42016716330970105,,0.6317766906760974
Utilities,0.89610097107313,0.4302378680754735,0.5798953991161699,0.993678540072064,0.9259667619898494,0.4302378680754735,0.2451372314165851,0.4628938810727459,0.41313575732890084,
