source_sector,Banking,RealEstate,SteelMaterials,Technology,ConsumerStaples,ConsumerDiscretionary,Energy,IndustrialLogistics,Healthcare,Utilities
Banking,,0.8681082354967911,0.8430229469011071,0.1231285293472807,0.40082405053837883,0.35808728152348185,0.07956364291691174,0.8305811176634487,0.5557135250458005,0.6957463182563597
RealEstate,0.20064616042937827,,0.13010481701753263,0.4206250623467489,0.2519356390393775,0.2149446848009683,0.7084293979042159,0.09019064950536997,0.46820504407952257,0.7448083326531639
SteelMaterials,0.046759064255329275,0.9664027791561745,,0.853846891084397,0.6259518470013543,0.15500964294337527,0.614974838888338,0.9888100262274778,0.03969881757419228,0.9091469019019508
Technology,0.8193466002702204,0.22610670571794392,0.8341748863503152,,0.053115052667157873,0.11869443434302954,0.8913279278248605,0.5579980146952246,0.2805140554060274,0.06596434419244615
ConsumerStaples,0.6795942693360212,0.7407699195829776,0.11067674771906583,0.6414424296916716,,0.15387944548651364,0.4332599310473736,0.784095060905336,0.26411045180502096,0.3596039709612901
ConsumerDiscretionary,0.8428752158894481,0.9674162208719063,0.21647363376564419,0.156536848636737,0.07420807022020372,,0.1465786032276145,0.6610504693215524,0.08152251400456255,0.6486252997600819
Energy,0.05855368559922375,0.147400015598046,0.0888623842425134,0.5670254675946379,0.1796722978121687,0.7584393091819683,,0.021632677600698237,0.5558863502348849,0.047239867424745646
IndustrialLogistics,0.031093042839044547,0.30751461770880645,0.48379376873766966,0.028215840259200556,0.6763511374563517,0.8058122086244837,0.00902817046502959,,0.22995027210077906,0.15762768534713625
Healthcare,0.7404008338330547,0.9046416662122377,0.7393899161806349,0.7696600610619041,0.2174504584523516,0.4068962421982918,0.388918205901057,0.06499916795037064,,0.5558601082867286
Utilities,0.17844304397245384,0.38112032651539174,0.003707533814028824,0.7673817600040804,0.22036173237225629,0.10272001344445138,0.3611106912476418,0.9775131685130191,0.5348541257415201,
