source_sector,Banking,RealEstate,SteelMaterials,Technology,ConsumerStaples,ConsumerDiscretionary,Energy,IndustrialLogistics,Healthcare,Utilities
Banking,,0.6175892750006847,0.6107053171326762,0.39214662179600157,0.5929816452560164,0.16239272151695727,0.9826376674045967,0.08386161474014653,0.975143249771522,0.49547192587791944
RealEstate,0.25736957847748526,,0.06958938580487065,0.20339407503435866,0.19349500986465526,0.023675751192712702,0.6160961644869531,0.006251766197770238,0.1990275248339031,0.12157952152898847
SteelMaterials,0.341482195472145,0.08973137329712916,,0.18820628944983261,0.24669637317820564,0.6565209455234154,0.03053612668326095,0.18666346126668681,0.28605857656227196,0.9362699473790084
Technology,0.1795583910702493,0.14841270929861194,0.5331388736032538,,0.8178803782191081,0.7413425314201669,0.029683604382296218,0.10271706936104527,0.06974071810534331,0.15152977167248324
ConsumerStaples,0.2150694730546834,0.5909696811088334,0.2705016468049136,0.029925497391675902,,0.598801742812832,0.948395441168442,0.9501970667771984,0.24858187933249576,0.5587880276626599
ConsumerDiscretionary,0.06331110420285256,0.01977462247733487,0.04831616628119891,0.027556642024809324,0.06212321659779825,,0.008944710506829424,0.0891850772493789,0.003477395929432478,0.18562449983876617
Energy,0.3893777182914425,0.49480262132605224,0.18807039643995763,0.10617150926051708,0.11987716357084782,0.0933072016264672,,0.08763197927058675,0.07755961133144185,0.6966724137155035
IndustrialLogistics,0.9978279072371509,0.03126655409376738,0.9398262698009955,0.2470324893128407,0.0267290901961313,0.016494765090798166,0.0007458069399266271,,0.2243329227310616,0.4637380096004744
Healthcare,0.07815170080343987,0.7609072026433746,0.5020561709995468,0.11074093655514484,0.27057702858110844,0.2593582737243124,0.031559097360094504,0.21008358165485053,,0.44224368347326815
Utilities,0.7965341965094489,0.23685414544721592,0.39948349716891707,0.9811372437587064,0.8436586053685294,0.2423081348527704,0.040856205236097516,0.2983093900246585,0.17094800310696825,
