sector_label,overlap_start,overlap_end,n_trading_days,return_non_null_count,return_missing_count,return_missing_ratio,sentiment_non_null_count,sentiment_missing_count,sentiment_missing_ratio,both_non_null_count,both_non_null_ratio,article_days_count,total_article_count
Banking,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,5215.0
RealEstate,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,6178.0
SteelMaterials,2025-06-19,2026-08-10,286,286,0,0.0,270,16,0.055944055944055944,270,0.9440559440559441,285,2245.0
Technology,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,3829.0
ConsumerStaples,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,3525.0
ConsumerDiscretionary,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,7255.0
Energy,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,3980.0
IndustrialLogistics,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,4280.0
Healthcare,2025-06-19,2026-08-10,286,286,0,0.0,227,59,0.2062937062937063,227,0.7937062937062938,240,655.0
Utilities,2025-06-19,2026-08-10,286,286,0,0.0,271,15,0.05244755244755245,271,0.9475524475524476,286,6076.0
