source,target,source_sector,target_sector,best_lag,p_value,p_value_fdr_bh,f_stat,n_obs,edge_weight,edge_type,is_self_edge,significance_type
IndustrialLogistics,Energy,IndustrialLogistics,Energy,5,1.3063259488010704e-05,0.0011756933539209,6.364152487651188,290,2.929705936819363,cross,False,fdr
IndustrialLogistics,Banking,IndustrialLogistics,Banking,3,6.618646997159257e-05,0.0029783911487216,7.60417672051684,290,2.526018267438025,cross,False,fdr
Utilities,RealEstate,Utilities,RealEstate,4,0.0004407032607396,0.0099158233666417,5.239376865352068,290,2.0036712180454086,cross,False,fdr
Utilities,SteelMaterials,Utilities,SteelMaterials,3,0.000341594003311,0.0099158233666417,6.374657625493875,290,2.0036712180454086,cross,False,fdr
Energy,Banking,Energy,Banking,4,0.0006871116275206,0.0123680092953714,4.9777577729791735,290,1.907700197024797,cross,False,fdr
Technology,RealEstate,Technology,RealEstate,5,0.0009055645204287,0.0135834678064306,4.285643136557882,290,1.8669893422104133,cross,False,fdr
IndustrialLogistics,RealEstate,IndustrialLogistics,RealEstate,4,0.0012600771365556,0.0162009917557159,4.61997593784226,290,1.7904583989850664,cross,False,fdr
Energy,Utilities,Energy,Utilities,3,0.0016118055709442,0.0181328126731229,5.216279395563031,290,1.7415348250455271,cross,False,fdr
ConsumerStaples,ConsumerDiscretionary,ConsumerStaples,ConsumerDiscretionary,3,0.0025429194803766,0.0208057048394452,4.876015085236243,290,1.681817566932001,cross,False,fdr
Energy,Healthcare,Energy,Healthcare,3,0.0022441549693178,0.0208057048394452,4.969296424350264,290,1.681817566932001,cross,False,fdr
IndustrialLogistics,Utilities,IndustrialLogistics,Utilities,5,0.0023625826086888,0.0208057048394452,3.8102179654621255,290,1.681817566932001,cross,False,fdr
Technology,Healthcare,Technology,Healthcare,5,0.0029883772272448,0.0224128292043363,3.6930478530916937,290,1.6495033183744714,cross,False,fdr
SteelMaterials,Banking,SteelMaterials,Banking,2,0.004320166484309,0.0299088448913703,5.550560359482683,290,1.5242003595193672,cross,False,fdr
Banking,RealEstate,Banking,RealEstate,3,0.0060081273205102,0.0372089548720846,4.233740615493394,290,1.429352528303136,cross,False,fdr
ConsumerDiscretionary,Energy,ConsumerDiscretionary,Energy,5,0.0064392789877364,0.0372089548720846,3.3077308953442315,290,1.429352528303136,cross,False,fdr
Technology,ConsumerStaples,Technology,ConsumerStaples,5,0.0066149253105928,0.0372089548720846,3.2941414763944,290,1.429352528303136,cross,False,fdr
RealEstate,Banking,RealEstate,Banking,3,0.0087637829938902,0.0463964982029483,3.951181444422805,290,1.333514796784059,cross,False,fdr
ConsumerDiscretionary,ConsumerStaples,ConsumerDiscretionary,ConsumerStaples,3,0.0096088631853271,0.0480443159266357,3.882200839596536,290,1.3183579858875811,cross,False,fdr
RealEstate,Energy,RealEstate,Energy,2,0.0102735133646972,0.0486640106748815,4.653054335247349,290,1.3127921012787838,cross,False,fdr
