source,target,source_sector,target_sector,best_lag,p_value,p_value_fdr_bh,f_stat,n_obs,edge_weight,edge_type,is_self_edge,significance_type
IndustrialLogistics,Energy,IndustrialLogistics,Energy,4,0.0055215108004186,0.2012956938465397,3.7578242905314982,250,2.2579420739897986,cross,False,raw
SteelMaterials,Energy,SteelMaterials,Energy,4,0.0065236531463408,0.2012956938465397,3.657364104311587,250,2.185509137857807,cross,False,raw
Utilities,SteelMaterials,Utilities,SteelMaterials,3,0.0069287658529012,0.2012956938465397,4.140863555618164,250,2.159344114739784,cross,False,raw
SteelMaterials,ConsumerDiscretionary,SteelMaterials,ConsumerDiscretionary,3,0.0089464752820684,0.2012956938465397,3.9482072604187297,250,2.048348033628517,cross,False,raw
Energy,IndustrialLogistics,Energy,IndustrialLogistics,4,0.0154696005553244,0.2784528099958404,3.134131834282206,250,1.8105209001893274,cross,False,raw
ConsumerDiscretionary,Healthcare,ConsumerDiscretionary,Healthcare,1,0.0193030917057466,0.2816726291265228,5.546568121423307,250,1.7143731260590067,cross,False,raw
Healthcare,ConsumerStaples,Healthcare,ConsumerStaples,2,0.0220375152439556,0.2816726291265228,3.875535083169471,250,1.656837374279076,cross,False,raw
Energy,Healthcare,Energy,Healthcare,2,0.0250375670334687,0.2816726291265228,3.743901991676551,250,1.6014078749534213,cross,False,raw
Healthcare,IndustrialLogistics,Healthcare,IndustrialLogistics,3,0.0312075014670992,0.294041312725907,3.0022778389289626,250,1.5057410003986877,cross,False,raw
IndustrialLogistics,ConsumerDiscretionary,IndustrialLogistics,ConsumerDiscretionary,5,0.033364067661929,0.294041312725907,2.468792437644718,250,1.4767210067321945,cross,False,raw
Energy,RealEstate,Energy,RealEstate,1,0.0359383826664997,0.294041312725907,4.4487120070257244,250,1.4444414713232987,cross,False,raw
Energy,ConsumerDiscretionary,Energy,ConsumerDiscretionary,3,0.0424432327294556,0.304119431072411,2.7676703927114987,250,1.3721915450559032,cross,False,raw
RealEstate,Healthcare,RealEstate,Healthcare,3,0.0439283622660149,0.304119431072411,2.7413655448438226,250,1.3572549877679356,cross,False,raw
