sector_label,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,self_loop_count,pagerank,betweenness_centrality,hub_score,authority_score,is_net_sender,is_net_receiver
Banking,2,0,2,3.276937342601145,0.0,3.276937342601145,0,0.10658916196470722,0.0,-0.0,0.24691017561686998,False,True
RealEstate,3,0,3,4.194034318457768,0.0,4.194034318457768,0,0.14941783625190566,0.0,-0.0,0.19684333467073317,False,True
SteelMaterials,1,0,1,1.4894829606756634,0.0,1.4894829606756634,0,0.11167365749345902,0.0,-0.0,0.03021568240309375,False,True
Technology,0,2,2,0.0,2.7831059084893033,2.7831059084893033,0,0.06691678898781397,0.0,0.138983227624215,-0.0,True,False
ConsumerStaples,0,1,1,0.0,1.410928409968465,1.410928409968465,0,0.06691678898781397,0.0,1.441384223511797e-18,-0.0,True,False
ConsumerDiscretionary,1,0,1,1.410928409968465,0.0,1.410928409968465,0,0.12379560956008445,0.0,-0.0,3.106124685641638e-18,False,True
Energy,1,3,4,2.3153754344675557,4.232785229905395,6.548160664372951,0,0.0859322062552294,0.013888888888888888,0.2563045030167974,0.220615148582066,True,False
IndustrialLogistics,0,4,4,0.0,6.925739364141913,6.925739364141913,0,0.06691678898781397,0.0,0.49856582225710866,-0.0,True,False
Healthcare,2,0,2,2.7831059084893033,0.0,2.7831059084893033,0,0.11930767476855399,0.0,-0.0,0.10555905964454664,False,True
Utilities,2,2,4,2.7831059084893033,2.9004113706441284,5.683517279133431,0,0.10253348674261854,0.041666666666666664,0.10614644710187889,0.19985659908269043,True,False
