sector_label,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,self_loop_count,pagerank,betweenness_centrality,hub_score,authority_score,is_net_sender,is_net_receiver
Banking,4,0,4,9.140789389168575,0.0,9.140789389168575,0,0.2178543865547999,0.0,-0.0,0.24907300253388523,False,True
RealEstate,3,3,6,5.196204039958955,4.441635089176035,9.63783912913499,0,0.12968066773741202,0.19444444444444442,0.0848818317183698,0.11377305519107535,False,True
SteelMaterials,2,1,3,4.056018915101475,1.8492009929250424,5.905219908026518,0,0.12282773070409349,0.013888888888888888,0.07872578878249784,0.01648991043428983,False,True
Technology,0,3,3,0.0,5.8545688214307745,5.8545688214307745,0,0.03351774162362428,0.0,0.07917417437457912,-0.0,True,False
ConsumerStaples,2,2,4,3.5054789525735695,3.8673805142642803,7.37285946683785,0,0.08087578470040316,0.0324074074074074,0.06187114929730564,0.02949141793065728,True,False
ConsumerDiscretionary,2,2,4,4.068453718533028,3.0992829517301597,7.167736670263187,0,0.0860703323892748,0.10416666666666666,0.057219363913709666,0.09392651616295442,False,True
Energy,2,4,6,5.423504588830891,8.598750136579078,14.022254725409969,0,0.09056659448456435,0.1273148148148148,0.2220326250483127,0.193658201437358,True,False
IndustrialLogistics,2,5,7,2.902624971577194,12.672797409894699,15.575422381471892,0,0.08343876371187615,0.18518518518518515,0.3817681186974501,0.05331343983189952,True,False
Healthcare,3,1,4,5.8204172799303,1.3732056883118204,7.193622968242121,0,0.08955857963316792,0.05787037037037036,0.026704303847941663,0.0930320536728302,False,True
Utilities,2,1,3,4.3477931726036925,2.7044634239657905,7.0522565965694834,0,0.06560941846078383,0.034722222222222224,0.00762264431983344,0.1572424028050502,False,True
