source_sector,Banking,RealEstate,SteelMaterials,Technology,ConsumerStaples,ConsumerDiscretionary,Energy,IndustrialLogistics,Healthcare,Utilities
Banking,1.0,0.22648848395006005,0.4449425809928272,0.5892042071735677,0.5747488590596093,0.5376125722312084,0.30596960996717804,0.4827382345643034,0.2659624669682305,0.40956802931412306
RealEstate,0.22648848395006005,1.0,0.2068809999994649,0.12418418407482487,0.28978063326131603,0.37541483889566724,-0.018217972422169836,0.22282079186827586,0.05302640199505519,0.17477856661101548
SteelMaterials,0.4449425809928272,0.2068809999994649,1.0,0.40991137847142806,0.5559036570891647,0.5662096288419881,0.14890355785448559,0.5163553972995194,0.2765599121807193,0.4380162935813187
Technology,0.5892042071735677,0.12418418407482487,0.40991137847142806,1.0,0.4944697877729007,0.4647047871981442,0.3008417629746786,0.5044238041076103,0.3501931967431504,0.39130277560422855
ConsumerStaples,0.5747488590596093,0.28978063326131603,0.5559036570891647,0.4944697877729007,1.0,0.5609478828339027,0.25131507002314235,0.498581573211194,0.2944926573551737,0.37491527254014717
ConsumerDiscretionary,0.5376125722312084,0.37541483889566724,0.5662096288419881,0.4647047871981442,0.5609478828339027,1.0,0.22566454648902246,0.5410547525472623,0.27576180400798594,0.4822049730746363
Energy,0.30596960996717804,-0.018217972422169836,0.14890355785448559,0.3008417629746786,0.25131507002314235,0.22566454648902246,1.0,0.3402042358605723,0.18453254940580766,0.4640609587681939
IndustrialLogistics,0.4827382345643034,0.22282079186827586,0.5163553972995194,0.5044238041076103,0.498581573211194,0.5410547525472623,0.3402042358605723,1.0,0.2992187054489494,0.5834579480889714
Healthcare,0.2659624669682305,0.05302640199505519,0.2765599121807193,0.3501931967431504,0.2944926573551737,0.27576180400798594,0.18453254940580766,0.2992187054489494,1.0,0.24477637528937063
Utilities,0.40956802931412306,0.17477856661101548,0.4380162935813187,0.39130277560422855,0.37491527254014717,0.4822049730746363,0.4640609587681939,0.5834579480889714,0.24477637528937063,1.0
