source,target,corr,abs_corr
Banking,Technology,0.5892042071735677,0.5892042071735677
IndustrialLogistics,Utilities,0.5834579480889714,0.5834579480889714
Banking,ConsumerStaples,0.5747488590596093,0.5747488590596093
SteelMaterials,ConsumerDiscretionary,0.5662096288419881,0.5662096288419881
ConsumerStaples,ConsumerDiscretionary,0.5609478828339027,0.5609478828339027
SteelMaterials,ConsumerStaples,0.5559036570891647,0.5559036570891647
ConsumerDiscretionary,IndustrialLogistics,0.5410547525472623,0.5410547525472623
Banking,ConsumerDiscretionary,0.5376125722312084,0.5376125722312084
SteelMaterials,IndustrialLogistics,0.5163553972995194,0.5163553972995194
Technology,IndustrialLogistics,0.5044238041076103,0.5044238041076103
ConsumerStaples,IndustrialLogistics,0.498581573211194,0.498581573211194
